alpha,beta,gate_m,ab_sigma,ab_bias,ab_rmse,ab_rate_std,sensor_reject_ratio,ab_tracker_gate_reject_ratio,score_static
0.3,0.03,8.0,0.19169195275440457,0.7497466959125632,0.7737130366426671,0.039178857457202475,0.0,0.0,0.5783189579478468
0.3,0.03,10.0,0.19169195275440457,0.7497466959125632,0.7737130366426671,0.039178857457202475,0.0,0.0,0.5783189579478468
0.35,0.02,6.0,0.19844687859294882,0.7497104493600091,0.7753683550840634,0.024302661423682034,0.0,0.0,0.580592901700058
0.35,0.02,8.0,0.19844687859294882,0.7497104493600091,0.7753683550840634,0.024302661423682034,0.0,0.0,0.580592901700058
0.35,0.02,10.0,0.19844687859294882,0.7497104493600091,0.7753683550840634,0.024302661423682034,0.0,0.0,0.580592901700058
0.35,0.03,6.0,0.2008151807775616,0.7498196169840412,0.7760794654212981,0.036713358538640814,0.0,0.0,0.5867389968311744
0.35,0.03,8.0,0.2008151807775616,0.7498196169840412,0.7760794654212981,0.036713358538640814,0.0,0.0,0.5867389968311744
0.35,0.03,10.0,0.2008151807775616,0.7498196169840412,0.7760794654212981,0.036713358538640814,0.0,0.0,0.5867389968311744
0.1,0.03,6.0,0.19376632585980036,0.750134401196533,0.7746017468933853,0.06807355895875457,0.0,0.0,0.5892555941456932
0.1,0.03,8.0,0.19376632585980036,0.750134401196533,0.7746017468933853,0.06807355895875457,0.0,0.0,0.5892555941456932
0.1,0.03,10.0,0.19376632585980036,0.750134401196533,0.7746017468933853,0.06807355895875457,0.0,0.0,0.5892555941456932
0.25,0.05,6.0,0.1947742925528181,0.7495282655354458,0.7742661097929441,0.07063266291260556,0.0,0.0,0.5907282241943227
0.25,0.05,8.0,0.1947742925528181,0.7495282655354458,0.7742661097929441,0.07063266291260556,0.0,0.0,0.5907282241943227
0.25,0.05,10.0,0.1947742925528181,0.7495282655354458,0.7742661097929441,0.07063266291260556,0.0,0.0,0.5907282241943227
0.2,0.05,6.0,0.19419894119096268,0.7492914551083913,0.7738932108565401,0.07787547129612794,0.0,0.0,0.5922073101339967
0.2,0.05,8.0,0.19419894119096268,0.7492914551083913,0.7738932108565401,0.07787547129612794,0.0,0.0,0.5922073101339967
0.2,0.05,10.0,0.19419894119096268,0.7492914551083913,0.7738932108565401,0.07787547129612794,0.0,0.0,0.5922073101339967
0.3,0.05,6.0,0.19951267374531304,0.7497199684693214,0.7756492771346026,0.06544145968593292,0.0,0.0,0.5940050958857536
0.3,0.05,8.0,0.19951267374531304,0.7497199684693214,0.7756492771346026,0.06544145968593292,0.0,0.0,0.5940050958857536
0.3,0.05,10.0,0.19951267374531304,0.7497199684693214,0.7756492771346026,0.06544145968593292,0.0,0.0,0.5940050958857536
0.35,0.05,6.0,0.2066410428272614,0.7498832306860095,0.7776589242120816,0.06148889369540444,0.0,0.0,0.6000293262788874
0.35,0.05,8.0,0.2066410428272614,0.7498832306860095,0.7776589242120816,0.06148889369540444,0.0,0.0,0.6000293262788874
0.35,0.05,10.0,0.2066410428272614,0.7498832306860095,0.7776589242120816,0.06148889369540444,0.0,0.0,0.6000293262788874
0.15,0.05,6.0,0.2013749932435662,0.74892419330547,0.7753586543932256,0.08891442992229041,0.0,0.0,0.6025114188729883
0.15,0.05,8.0,0.2013749932435662,0.74892419330547,0.7753586543932256,0.08891442992229041,0.0,0.0,0.6025114188729883
0.15,0.05,10.0,0.2013749932435662,0.74892419330547,0.7753586543932256,0.08891442992229041,0.0,0.0,0.6025114188729883
0.1,0.05,6.0,0.22441315410873702,0.7479890975175749,0.7807228582293145,0.10789057892350494,0.0,0.0,0.630774876544576
0.1,0.05,8.0,0.22441315410873702,0.7479890975175749,0.7807228582293145,0.10789057892350494,0.0,0.0,0.630774876544576
0.1,0.05,10.0,0.22441315410873702,0.7479890975175749,0.7807228582293145,0.10789057892350494,0.0,0.0,0.630774876544576
