alpha,beta,gate_m,max_reject,baseline_mean_rise_s,baseline_mean_settle_s,ab_mean_rise_s,ab_mean_settle_s,ab_mean_overshoot_m,sensor_reject_ratio,ab_tracker_gate_reject_ratio,score_switch
0.1,0.0,12.0,3,0.2362950839380387,35.364888888888885,0.20694407887712063,33.04188888888889,17.696664793926857,0.1882640586797066,0.15403422982885084,30.48785660843131
0.1,0.0,15.0,3,0.2362950839380387,35.364888888888885,0.20694407887712063,33.04188888888889,17.696664793926857,0.1882640586797066,0.15403422982885084,30.48785660843131
0.1,0.0,8.0,3,0.2362950839380387,35.364888888888885,0.2070026104003669,33.04188888888889,17.696664793926857,0.1882640586797066,0.16136919315403422,30.502585066604922
0.1,0.0,8.0,3,0.2362950839380387,35.364888888888885,0.2070026104003669,33.04188888888889,17.696664793926857,0.1882640586797066,0.16136919315403422,30.502585066604922
0.1,0.0,8.0,3,0.2362950839380387,35.364888888888885,0.2070026104003669,33.04188888888889,17.696664793926857,0.1882640586797066,0.16136919315403422,30.502585066604922
0.15,0.0,10.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,12.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,15.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,10.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,12.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,15.0,3,0.2362950839380387,35.364888888888885,0.20691003504748046,33.04188888888889,17.805836431021596,0.1882640586797066,0.15403422982885084,30.50965689202062
0.15,0.0,8.0,3,0.2362950839380387,35.364888888888885,0.20695234664715018,33.04188888888889,17.805836431021596,0.1882640586797066,0.16136919315403422,30.524369130270653
0.15,0.0,8.0,3,0.2362950839380387,35.364888888888885,0.20695234664715018,33.04188888888889,17.805836431021596,0.1882640586797066,0.16136919315403422,30.524369130270653
0.1,0.0,10.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,12.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,15.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,10.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,12.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,15.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
0.1,0.0,10.0,5,0.2362950839380387,35.364888888888885,0.23619093643233777,35.364888888888885,17.763810858417965,0.1882640586797066,0.2469437652811736,32.574751749789385
